"2016年4月13日","20:00","Expense","Confirmed","","2016.03","","餐饮","","17.0","CNY","1.0"
"2016年4月12日","20:34","Expense","Confirmed","","2016.04","","餐饮","","42.0","CNY","1.0"
"2016年4月11日","00:13","Expense","Confirmed","","2016.04","","餐饮","","35.0","CNY","1.0"
"2016年4月10日","19:07","Expense","Confirmed","","2016.04","","餐饮","","24.0","CNY","1.0"
"2016年4月9日","19:18","Expense","Confirmed","","2016.04","","餐饮","","17.0","CNY","1.0"
"2016年4月9日","19:00","Expense","Confirmed","","2016.04","","家用","","15.0","CNY","1.0"
"2016年4月8日","19:18","Expense","Confirmed","","2016.04","","餐饮","","17.0","CNY","1.0"
"2016年4月7日","08:44","Expense","Confirmed","","2016.04","","餐饮","","30.0","CNY","1.0"
"2016年4月6日","19:52","Expense","Confirmed","","2016.04","","服饰","","530.0","CNY","1.0"
"2016年4月6日","08:56","Expense","Confirmed","","2016.04","","餐饮","","35.0","CNY","1.0"
"2016年4月4日","20:31","Expense","Confirmed","","2016.04","","休闲娱乐","电影","50.0","CNY","1.0"
"2016年4月4日","09:30","Expense","Confirmed","","2016.04","","餐饮","","13.0","CNY","1.0"
"2016年4月3日","19:28","Expense","Confirmed","","2016.04","","餐饮","","15.0","CNY","1.0"
"2016年4月2日","19:28","Expense","Confirmed","","2016.04","","餐饮","","10.0","CNY","1.0"
"2016年4月2日","18:40","Expense","Confirmed","","2016.04","","家用","","194.0","CNY","1.0"
"2016年4月2日","09:41","Expense","Confirmed","","2016.04","","话费","移动","30.0","CNY","1.0"
"2016年4月1日","19:04","Expense","Confirmed","","2016.04","","餐饮","","22.0","CNY","1.0"
"2016年4月1日","19:04","Expense","Confirmed","","2016.04","","餐饮","","10.0","CNY","1.0"
"2016年4月1日","09:39","Expense","Confirmed","","2016.04","","话费","联通","50.0","CNY","1.0"
"2016年4月1日","07:04","Expense","Confirmed","","2016.04","","餐饮","","13.0","CNY","1.0"
"2016年3月26日","19:31","Expense","Confirmed","帐户余额变更","2016 搬家","","","","1600.0","CNY","1.0"
"2016年3月26日","19:30","Expense","Confirmed","","2016.03","","休闲娱乐","电影","60.0","CNY","1.0"
"2016年3月26日","19:29","Expense","Confirmed","","2016.03","","餐饮","电影","250.0","CNY","1.0"
"2016年3月24日","19:17","Expense","Confirmed","","2016.03","","餐饮","","16.0","CNY","1.0"
"2016年3月23日","11:16","Expense","Confirmed","","2016.03","","餐饮","","20.0","CNY","1.0"
"2016年3月22日","07:14","Expense","Confirmed","","2016.03","","餐饮","","5.0","CNY","1.0"
"2016年3月21日","07:16","Expense","Confirmed","","2016.03","","餐饮","","5.0","CNY","1.0"
"2016年3月20日","18:16","Expense","Confirmed","","2016.03","","餐饮","","67.0","CNY","1.0"
"2016年3月14日","07:41","Expense","Confirmed","","2016.03","","餐饮","","5.0","CNY","1.0"
"2016年3月12日","12:41","Expense","Confirmed","","2016.03","","餐饮","","10.0","CNY","1.0"
"2016年3月11日","20:10","Expense","Confirmed","","2016.03","","餐饮","","94.0","CNY","1.0"
"2016年3月10日","07:55","Expense","Confirmed","","2016.03","","餐饮","","15.0","CNY","1.0"
